"","lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"678",-106.145258,38.883328,2.41156244277954,16.5879573822021,43.5662498474121,794.305541992188,22.4869995117188,-15.5882501602173,38.0752487182617,11.971625328064,-6.8758749961853,12.4504165649414,-6.8758749961853,378,58,20,38.2174072265625,148,67,144,67
"679",-105.292463,39.928558,8.41788578033447,16.1509799957275,42.6425666809082,796.953002929688,28.9225006103516,-8.95275020599365,37.8752517700195,11.6349582672119,-0.701166808605194,18.7534999847412,-0.701166808605194,470,68,16,41.4673614501953,175,54,148,54
"680",-105.292778,39.92775,8.41788578033447,16.1509799957275,42.6425666809082,796.953002929688,28.9225006103516,-8.95275020599365,37.8752517700195,11.6349582672119,-0.701166808605194,18.7534999847412,-0.701166808605194,470,68,16,41.4673614501953,175,54,148,54
"681",-101.665262,41.201401,9.83110427856445,15.9253330230713,36.5125961303711,1020.20001220703,32.4930000305176,-11.1230001449585,43.6160011291504,19.8618335723877,-2.51595830917358,22.6147918701172,-2.51595830917358,450,76,14,57.5012893676758,207,43,172,43
"682",-103.478614,43.557883,8.03967666625977,15.4799785614014,37.9492645263672,932.403930664062,29.6264991760254,-11.1647500991821,40.7912483215332,17.1190414428711,-2.95920825004578,19.9215831756592,-2.95920825004578,451,78,9,67.3273010253906,223,32,190,32
"683",-105.139258,39.647537,9.65384387969971,16.5893955230713,41.8559494018555,835.020751953125,30.5527496337891,-9.08174991607666,39.6344985961914,17.8374996185303,-0.11895839124918,20.4273338317871,-0.11895839124918,449,69,14,42.3592262268066,167,50,143,50
"684",-105.139258,39.647537,9.65384387969971,16.5893955230713,41.8559494018555,835.020751953125,30.5527496337891,-9.08174991607666,39.6344985961914,17.8374996185303,-0.11895839124918,20.4273338317871,-0.11895839124918,449,69,14,42.3592262268066,167,50,143,50
"685",-104.673953,39.651993,9.59253120422363,15.943229675293,40.301643371582,859.623474121094,30.6552505493164,-8.9045000076294,39.5597496032715,17.9577503204346,-0.430666595697403,20.6377925872803,-0.430666595697403,399,63,10,52.7185401916504,169,34,153,34
"686",-104.892474,39.004227,5.34351062774658,16.2010631561279,43.382438659668,774.195861816406,25.0939998626709,-12.2507495880127,37.3447494506836,15.2722082138062,-3.63666653633118,15.2722082138062,-3.63666653633118,446,72,12,57.2163009643555,196,41,196,41
"687",-105.188557,39.749199,7.83900022506714,16.9711666107178,44.2703971862793,786.537963867188,28.4792499542236,-9.85599994659424,38.3352508544922,15.4459581375122,-1.13041663169861,18.0448341369629,-1.13041663169861,469,66,14,42.0627822875977,173,53,158,53
"688",-104.759767,39.960757,9.87843704223633,16.216625213623,39.5983772277832,900.986633300781,31.5207500457764,-9.43200016021729,40.952751159668,18.7490825653076,-0.854750096797943,21.3111248016357,-0.854750096797943,394,63,11,50.1883163452148,160,35,138,35
"689",-104.759974,39.960735,9.87843704223633,16.216625213623,39.5983772277832,900.986633300781,31.5207500457764,-9.43200016021729,40.952751159668,18.7490825653076,-0.854750096797943,21.3111248016357,-0.854750096797943,394,63,11,50.1883163452148,160,35,138,35
"690",-104.75999,39.960695,9.87843704223633,16.216625213623,39.5983772277832,900.986633300781,31.5207500457764,-9.43200016021729,40.952751159668,18.7490825653076,-0.854750096797943,21.3111248016357,-0.854750096797943,394,63,11,50.1883163452148,160,35,138,35
"691",-104.760156,39.961241,9.87843704223633,16.216625213623,39.5983772277832,900.986633300781,31.5207500457764,-9.43200016021729,40.952751159668,18.7490825653076,-0.854750096797943,21.3111248016357,-0.854750096797943,394,63,11,50.1883163452148,160,35,138,35
"692",-105.220505,40.246948,8.92889595031738,16.1650409698486,41.4839248657227,830.091552734375,29.7910003662109,-9.17599964141846,38.9669990539551,12.4930419921875,-0.696291625499725,19.6175422668457,-0.696291625499725,431,66,15,43.9591407775879,166,47,137,47
